Code,Device,Manufacturer,Base,Package,Leaded Equivalent/Data
12,DTA123EUA,Rho,N,SC70,pnp dtr 2k2+2k2 50V 100ma
12,DTA123EKA,Rho,N,SC59,pnp dtr 2k2+2k2 res 50V 100ma
p12,PDTC114TT,Phi,N,SOT23,npn dtr
t12,PDTC114TT,Phi,N,SOT23,npn dtr
12A,MMBD1502A,Nat,K,SOT23,Si diode 200V 100mA
12A,PZM12NB2A,Phi,A,SOT346,dual ca 12V 0.3W zener
12E,ZC2812E,Zet,D,SOT23,dual series RF schottky15V 20mA
12V,PZM12NB,Phi,C,SOT346,12V 0.3W zener
12Y,BZV49-C12,Phi,O,SOT89,12V 1W zener
13,DTA143EUA,Rho,N,SC70,pnp dtr 4k7+4k7 50V 100ma
13,DTA143EKA,Rho,N,SC59,pnp dtr 4k7+4k7 50V 100ma
13,DTA143ECA,Rho,N,SOT23,pnp dtr 4k7+4k7 50V 100ma
13t,BC846BPN,Phi,N,SOT363,BC546B
13s,BAS125,Sie,C,SOT23,Schottky sw 24V 100mA
13s,BAS125W,Sie,C,SOT323,Schottky sw 24V 100mA
13,MA4CS103A,M/A,C,SOT23,Schottky RF 20V 100mA
13,MUN5313DW1,Mot,DP,SOT363,npn/pnp dtr 47k+47k
13A,MMBD1503A,Nat,D,SOT23,dual Si diode 200V 100mA
13A,PZM13NB2A,Phi,A,SOT346,dual ca 13V 0.3W zener
13E,ZC2813E,Zet,A,SOT23,dual ca RF schottky15V 20mA
13V,PZM13NB,Phi,C,SOT346,13V 0.3W zener
13Y,BZV49-C13,Phi,O,SOT89,13V 1W zener
14s,BAS125-04,Sie,D,SOT23,Dual series Schottky 25V 100mA
14s,BAS125-04W,Sie,D,SOT323,Dual series Schottky 25V 100mA
14,BAT114-099R,Sie,DQ,-,Quad Schottky crossover ring
14,DTA114EUA,Roh,N,SC70,pnp dtr 10k + 10k
14,DTA114EKA,Roh,N,SC59,pnp dtr 10k + 10k
14,MUN5314DW1,Mot,DP,SOT363,npn/pnp dtr 10k R1
14,DTA114ECA,Roh,N,SOT23,pnp dtr 10k + 10k
14A,MMBD1504A,Nat,B,-,dual cc Si diode 200V 100mA
15s,BAS125-05,Sie,B,SOT23,dual cc Schottky 25V 100mA
15s,BAS125-05W,Sie,B,SOT323,dual cc Schottky 25V 100mA
15,DTA124EUA,Roh,N,SC70,pnp dtr 30V 50mA 22k+22k
15,DTA124EKA,Roh,N,SC59,pnp dtr 30V 50mA 22k+22k
15,DTA124ECA,Roh,N,SOT23,pnp dtr 30V 50mA 22k+22k
15,MUN5315DW1,Mot,DP,SOT363,npn/pnp dtr 10k R1
15,MMBT3960,Mot,N,-,2N3960
15A,MMBD1505A,Nat,A,-,dual ca Si diode 200V 100mA
15A,PZM15NB2A,Phi,A,SOT346,dual ca 15V 0.3W zener
15V,PZM15NB,Phi,C,SOT346,15V 0.3W zener
15Y,BZV49-C15,Phi,O,SOT89,15V 1W zener
p16,PDTC114ET,Phi,N,SOT23,npn dtr
t16,PDTC114EU,Phi,N,SOT323,npn dtr
16s,BAS125-06,Sie,A,SOT23,dual ca Schottky 25V 100mA
16s,BAS125-06W,Sie,A,SOT323,dual ca Schottky 25V 100mA
16,MUN5316DW1,Mot,DP,SOT363,npn/pnp dtr 4k7 R1
16,DTA144EUA,Roh,N,SC70,pnp dtr 30V 50mA 47k+47k
16,DTA144EKA,Roh,N,SC59,pnp dtr 30V 50mA 47k+47k
16V,PZM16NB,Phi,C,SOT346,16V 0.3W zener
16Y,BZV49-C16,Phi,O,SOT89,16V 1W zener
17s,BAS125-07,Sie,S,SOT143,dual Schottky 25V 100mA
17s,BAS125-07W,Sie,S,SOT343,dual Schottky 25V 100mA
p17,PDTC124ET,Phi,N,SOT23,npn dtr
t17,PDTC124EU,Phi,N,SOT323,npn dtr
18,BFP181T,Tfk,X,-,npn Rf fT 7.8GHz 10V 20mA
18,PDTC143ZK,Phi,N,SOT346,npn dtr 4k7+47k
p18,PDTC143ZT,Phi,N,SOT23,npn dtr 4k7+47k
t18,PDTC143ZT,Phi,N,SOT23,npn dtr 4k7+47k
18V,PZM18NB,Phi,C,SOT346,18V 0.3W zener
18Y,BZV49-C18,Phi,O,SOT89,18V 1W zener
19,PDTA143ZK,Phi,N,SOT346,pnp dtr 4k7+47k
19,DTA115EUA,Rho,N,SC70,pnp dtr 100k+100k 50V 100ma
19,DTA115EKA,Rho,N,SC59,pnp dtr 100k+100k 50V 100ma
p19,PDTA143ZT,Phi,N,SOT23,pnp dtr 4k7+47k
t19,PDTA143ZT,Phi,N,SOT23,pnp dtr 4k7+47k
100,SSTPAD100,Sil,J,SOT23,PAD-100 100pA leakage diode
101,PZM10NB1,Phi,C,SOT346,10V 0.3W zener
102,PZM10NB2,Phi,C,SOT346,10V 0.3W zener
103,PZM10NB3,Phi,C,SOT346,10V 0.3W zener
111,PZM11NB1,Phi,C,SOT346,11V 0.3W zener
111,DTA113ZUA,Roh,N,SC70,pnp dtr 1k+10k 50V 100mA
112,PZM11NB2,Phi,C,SOT346,11V 0.3W zener
113,PZM11NB3,Phi,C,SOT346,11V 0.3W zener
113,DTA143ZUA,Roh,N,SC70,pnp dtr 4k7+47k 50V 100mA
121,PZM12NB1,Phi,C,SOT346,12V 0.3W zener
121,DTC113ZUA,Roh,N,SC70,npn dtr 1k+10k 50V 100mA
122,PZM12NB2,Phi,C,SOT346,12V 0.3W zener
123,PZM12NB3,Phi,C,SOT346,12V 0.3W zener
123,DTC143ZUA,Roh,N,SC70,npn dtr 4k7+47k 50V 100mA
131,PZM13NB1,Phi,C,SOT346,13V 0.3W zener
132,PZM13NB2,Phi,C,SOT346,13V 0.3W zener
132,DTA123JUA,Roh,N,SC70,pnp dtr 2k2+47k 50V 100mA
133,PZM13NB3,Phi,C,SOT346,13V 0.3W zener
142,DTA123JUA,Roh,N,SC70,npn dtr 2k2+47k 50V 100mA
151,PZM15NB1,Phi,C,SOT346,15V 0.3W zener
152,PZM15NB2,Phi,C,SOT346,15V 0.3W zener
153,PZM15NB3,Phi,C,SOT346,15V 0.3W zener
156,DTA144VUA,Roh,N,SC70,pnp dtr 47k+10k 50V 100mA
161,PZM16NB1,Phi,C,SOT346,16V 0.3W zener
162,PZM16NB2,Phi,C,SOT346,16V 0.3W zener
163,PZM16NB3,Phi,C,SOT346,16V 0.3W zener
166,DTC144VUA,Roh,N,SC70,npn dtr 47k+10k 50V 100mA
179,FMMT5179,Zet,N,-,2N5179
181,PZM18NB1,Phi,C,SOT346,18V 0.3W zener
182,PZM18NB2,Phi,C,SOT346,18V 0.3W zener
183,PZM18NB3,Phi,C,SOT346,18V 0.3W zener
1A,BC846A,Phi,N,SOT23,BC546A
1A,BC846AT,Phi,N,SOT416,BC546A
1Ap,BC846A,Phi,N,SOT23,BC546A
1At,BC846A,Phi,N,SOT23,BC546A
1At,BC846AW,Phi,N,SOT323,BC546A
1A-,BC846AW,Phi,N,SOT323,BC546A
1A,FMMT3904,Zet,N,SOT23,2N3904
1A,MMBT3904,Mot,N,SOT23,2N3904
1A,IRLML2402,IR,F,SOT23,n-ch mosfet 20V 0.9A
p1A,PMMT3904,Phi,N,SOT23,2N3904
p1A,PXT3904,Phi,N,SOT89,2N3904
t1A,PMMT3904,Phi,N,SOT23,2N3904
t1A,PMST3904,Phi,N,SOT323,2N3904
-1A,PMST3904,Phi,N,SOT323,2N3904
1AM,MMBT3904L,Mot,N,SOT23,2N3904
1B,BC846B,Phi,N,SOT23,BC546B
1B,BC846BT,Phi,N,SOT416,BC546B
1Bp,BC846B,Phi,N,SOT23,BC546B
1Bt,BC846B,Phi,N,SOT23,BC546B
1Bt,BC846BW,Phi,N,SOT323,BC546B
1B-,BC846BW,Phi,N,SOT323,BC546B
1B,FMMT2222,Zet,N,SOT23,2N2222
1B,MMBT2222,Mot,N,SOT23,2N2222
1B,IRLML2803,IR,F,SOT23,n-ch mosfet 30V 0.9A
p1B,PMBT2222,Phi,N,SOT23,2N2222
t1B,PMBT2222,Phi,N,SOT23,2N2222
t1B,PMST2222,Phi,N,SOT233,2N2222
-1B,PMST2222,Phi,N,SOT323,2N2222
1Bs,BC817UPN,Sie,N,SC74,-
1Cp,BAP50-05,Phi,B,SOT23,dual cc GP RF pin diode
1C,FMMT-A20,Zet,N,SOT23,MPSA20
1C,MMBTA20L,Mot,N,SOT23,MPS3904
1C,IRLML6302,IR,F,SOT23,p-ch mosfet 20V 0.6A
1Cs,BC847S,Sie,-,SOT363,BC457
1Dp,BC846,Phi,N,SOT23,BC456
1Dt,BC846,Phi,N,SOT23,BC456
1Dt,BC846W,Phi,N,SOT323,BC456
1D-,BC846W,Phi,N,SOT323,BC456
1D,MMBTA42,Mot,N,SOT23,MPSA42 300V npn
1D,IRLML5103,IR,F,SOT23,p-ch mosfet 30V 0.6A
p1D,PMBTA42,Phi,N,SOT23,MPSA42 300V npn
p1D,PXTA42,Phi,N,SOT89,MPSA42 300V npn
t1D,PMBTA42,Phi,N,SOT23,MPSA42 300V npn
t1D,PMSTA42,Phi,N,SOT323,MPSA42 300V npn
1Ds,BC846U,Sie,N,SC74,BC456
1Ds,BC846U,Sie,-,SOT363,BC456
1DN,2SC4083,Roh,N,-,npn 11V 3.2GHz TV tuners
1DR,MSD1328R,Mot,N,SOT346,npn gp 25V 500mA
1E,BC847A,Phi,N,SOT23,BC547A
1E,BC847AT,Phi,N,SOT416,BC547A
1Ep,BC847A,Phi,N,SOT23,BC547A
1Et,BC847A,Phi,N,SOT23,BC547A
1Et,BC847A,Phi,N,SOT323,BC547A
1E-,BC847A,Phi,N,SOT323,BC547A
1ER,BC847AR,Phi,R,SOT23R,BC547A
1E,FMMT-A43,Zet,N,-,MPSA43
1E,MMBTA43,Mot,N,SOT23,MPSA43 200V npn
t1E,PMBTA43,Mot,N,SOT23,MPSA43 200V npn
t1E,PMSTA43,Mot,N,SOT323,MPSA43 200V npn
1Es,BC847A,Sie,N,SOT23,BC457
1Es,BC847AW,Sie,N,SOT323,BC457
1EN,2SC4084,Roh,N,-,npn 20V 2.0GHz TV tuners
1F,BC847B,Phi,N,SOT23,BC547B
1F,BC847BT,Phi,N,SOT416,BC547B
1Fs,BC847B,Sie,N,SOT23,BC547B
1Fs,BC847BT,Sie,N,SC75,BC547B
1Fs,BC847BW,Sie,N,SOT323,BC547B
1Fp,BC847B,Phi,N,SOT23,BC547B
1Ft,BC847B,Phi,N,SOT23,BC547B
1Ft,BC847BW,Phi,N,SOT323,BC547B
1F-,BC847BW,Phi,N,SOT323,BC547B
1FR,BC847BR,Phi,R,SOT23R,BC547B
1F,MMBT5550,Mot,N,SOT23,2N5550 140V npn
p1F,PMBT5550,Phi,N,SOT23,2N5550 140V npn
t1F,PMBT5550,Phi,N,SOT23,2N5550 140V npn
t1F,PMST5550,Phi,N,SOT323,2N5550 140V npn
1FZ,FMBT5550,Zet,N,SOT23,2N5550 140V npn
1G,BC847C,Phi,N,SOT23,BC547C
1G,BC847CT,Phi,N,SOT416,BC547C
1Gp,BC847C,Phi,N,SOT23,BC547C
1Gt,BC847CW,Phi,N,SOT323,BC547C
1G-,BC847CW,Phi,N,SOT323,BC547C
1Gs,BC847C,Sie,N,SOT23,BC547C
1Gs,BC847CW,Sie,N,SOT323,BC547C
1GR,BC847CR,Phi,R,SOT23R,BC547C
1GT,SOA06,SGS,N,SOT23,MPSA06
1G,FMMT-A06,Zet,N,SOT23,MPSA06
1G,MMBTA06,Mot,N,SOT23,MPSA06
p1G,PMMTA06,Phi,N,SOT23,MPSA06
t1G,PMMTA06,Phi,N,SOT23,MPSA06
t1G,PMMTA06,Phi,N,SOT323,MPSA06
1GM,MMBTA06,Mot,N,SOT23,MPSA06
1Hp,BC847,Phi,N,SOT23,BC547
1Ht,BC847,Phi,N,SOT23,BC547
1Ht,BC847W,Phi,N,SOT323,BC547
1H-,BC847W,Phi,N,SOT323,BC547
1H,FMMT-A05,Zet,N,-,MPSA05
1H,MMBTA05,Mot,N,SOT23,MPSA05
t1H,MMBTA05,Phi,N,SOT323,MPSA05
1HT,SOA05,SGS,N,SOT23,MPSA05
1J,BC848A,Phi,N,SOT23,BC548A
1Js,BC848A,Sie,N,SOT23,BC548A
1Js,BC848AW,Sie,N,SOT323,BC548A
1J,FMMT2369,Zet,N,SOT23,2N2369
1J,MMBT2369,Mot,N,SOT23,MPS2369
1Js,BCV61A,Sie,VQ,SOT143,npn current mirror hFe 180
1Jp,BCV61A,Phi,VQ,SOT143,npn current mirror hFe 180
p1J,PMBT2369,Phi,N,SOT23,2N2369
t1J,PMBT2369,Phi,N,SOT23,2N2369
t1J,PMBT2369,Phi,N,SOT323,2N2369
1JA,MMBT2369A,Mot,N,SOT23,MPS2369A
1JR,BC848AR,Phi,R,SOT23R,BC548A
1JZ,BC848A,Zet,N,SOT23,BC548A
1K,BC848B,ITT,N,SOT23,BC548B
1Kp,BC848B,Phi,N,SOT23,BC548B
1Ks,BC848B,Sie,N,SOT23,BC548B
1Ks,BC848BW,Sie,N,SOT323,BC548B
1K,MMBT6428,Mot,N,SOT23,MPSA18 50V
p1K,PMBT6428,Phi,N,SOT23,MPSA18 50V
t1K,PMBT6428,Phi,N,SOT23,MPSA18 50V
t1K,PMBT6428,Phi,N,SOT323,MPSA18 50V
1K,FMMT4400,Zet,N,SOT23,2N4400
1Ks,BCV61B,Sie,VQ,SOT143B,npn current mirror hFe 290
1Kp,BCV61B,Phi,VQ,SOT143B,npn current mirror hFe 290
1KR,BC848BR,Phi,R,SOT23R,BC548B
1KM,MMBT6428L,Mot,N,SOT23,MPSA18 50V
1KZ,FMMT4400,Zet,N,SOT23,2N4400
1L,BC848C,ITT,N,SOT23,BC548C
1Lp,BC848C,Phi,N,SOT23,BC548C
1Ls,BC848C,Sie,N,SOT23,BC548C
1Ls,BC848CW,Sie,N,SOT323,BC548C
1L,MMBT6429,Mot,N,-,MPSA18 45V
1L,FMMT4401,Zet,N,-,2N4401
1L,BCV61C,Sie,VQ,SOT143B,npn current mirror hFe 520
1Lp,BCV61C,Phi,VQ,SOT143B,npn current mirror hFe 520
p1L,PMBT6429,Phi,N,SOT23,MPSA18 45V
t1L,PMBT6429,Phi,N,SOT23,MPSA18 45V
t1L,PMBT6429,Phi,N,SOT323,MPSA18 45V
1LR,BC848CR,Phi,R,SOT23R,BC548C
1Mp,BC848,Phi,N,SOT23,BC548
1M,MMBTA13,Mot,N,SOT23,MPSA13 darlington
1Mp,BCV61,Phi,VQ,SOT143B,npn current mirror
1M,FMMT-A13,Zet,N,SOT23,MPSA13
p1M,PXTA13,Phi,N,SOT89,MPSA13 darlington
p1M,PMBTA13,Phi,N,SOT23,MPSA13 darlington
t1M,PMBTA13,Phi,N,SOT23,MPSA13 darlington
1N,FMMT-A14,Zet,N,SOT23,MPSA14
1N,MMBTA14,Mot,N,SOT23,MPSA14 darlington
1N5,ZTX11N15DF,Zet,N,SOT23,npn 15V 3A low saturation V
p1N,PMBTA14,Mot,N,SOT23,MPSA14 darlington
p1N,PXTA14,Mot,N,SOT89,MPSA14 darlington
t1N,PMBTA14,Mot,N,SOT23,MPSA14 darlington
1P,FMMT2222A,Zet,N,-,2N2222A
1P,MMBT2222A,Mot,N,SOT23,2N2222A
1P,BC847PN,Sie,DI,-,pnp/npn separate pair gp AF
p1P,PMBT2222A,Phi,N,SOT23,2N2222A
p1P,PXT2222A,Phi,N,SOT89,2N2222A
t1P,PMBT2222A,Phi,N,SOT23,2N2222A
t1P,PMST2222A,Phi,N,SOT323,2N2222A
1Q,MMBT5088,Mot,N,SOT23,MPSA18 Vce 30V
p1Q,PMBT5088,Phi,N,SOT23,MPSA18 Vce 30V
t1Q,PMBT5088,Phi,N,SOT23,MPSA18 Vce 30V
t1Q,PMST5088,Phi,N,SOT323,MPSA18 Vce 30V
1R,MMBT5089,Mot,N,SOT23,MPSA18 Vce 25V
t1R,PMST5089,Phi,N,SOT323,MPSA18 Vce 25V
1S,MMBT2369A,Nat,N,SOT23,2N2369A 500MHz sw npn
1S,MSC3130,Mot,H,SOT346,npn RF fT 1.4GHz 10V
1T,MMBT3960A,Mot,N,-,2N3960A
1U,MMBT2484L,Mot,N,SOT23,MPSA18
1V,MMBT6427,Mot,H,SOT23,2N6426/7 darlington npn
1Vp,BF820,Phi,N,SOT23,npn 300V 50mA BF420
1Vt,BF820,Phi,N,SOT23,npn 300V 50mA BF420
1Vt,BF820W,Phi,N,SOT323,npn 300V 50mA BF420
1V-,BF820W,Phi,N,SOT323,npn 300V 50mA BF420
1W,FMMT3903,Zet,N,SOT23,2N3903
1Wp,BF821,Phi,N,SOT23,pnp 300V 50mA BF421
1Wt,BF821,Phi,N,SOT23,pnp 300V 50mA BF421
1W t,BF822W,Phi,N,SOT323,pnp 300V 50mA BF421
1W -,BF822W,Phi,N,SOT323,pnp 300V 50mA BF421
1X,MMBT930L,Mot,N,SOT23,MPS3904
1Xp,BF822,Phi,N,SOT23,npn 250V 50mA BF422
1Xt,BF822,Phi,N,SOT23,npn 250V 50mA BF422
1Y,MMBT3903,Mot,N,SOT23,2N3903
1Yp,BF823,Phi,N,SOT23,pnp 250V 50mA BF423
1Yt,BF823,Phi,N,SOT23,pnp 250V 50mA BF423
1Z,BAS70-06,Zet,A,SOT23,dual RF CA schottky diode
1Z,MMBT6517,Mot,N,SOT23,2N6517 npn Vce 350V
2,BAT62-02W,Sie,I,SCD80,BAT16 schottky diode
2 (blue),BAR64-03W,Sie,I,SOD323,pin diode
2,2SC3604,Nec,CX,-,npn RF fT8GHz 12dB@2GHz
2 (white),BB439,Sie,I,SOD323,29-5 pF varicap
20,MRF5811,Mot,X,SOT143,npn Rf fT 5GHz 0.2A
-20,PDTC114WU,Phi,N,SOT323,npn dtr
20F,TSDF1220,Tfk,X,SOT143,fT 12GHz npn 6V 20mA
20V,PZM20NB,Phi,C,SOT346,20V 300mW zener
20Y,BZV49-C20,Phi,O,SOT89,20V 1W zener
21,Gali-21,MC,AZ,SOT89,DC-8GHz MMIC amp 14 dB gain
22,MMBT4209,Nat,N,SOT23,pnp sw 850MHz 2N4209
22,DTC123EUA,Rho,N,SC70,npn dtr 2k2+2k2 50V 100ma
22,DTC123EKA,Rho,N,SC59,npn dtr 2k2+2k2 50V 100ma
22V,PZM22NB,Phi,C,SOT346,22V 300mW zener
22Y,BZV49-C22,Phi,O,SOT89,22V 1W zener
23,MMBT3646,Nat,N,SOT23,npn sw 350MHz 2N3646
23,DTC143EUA,Roh,N,SC70,pnp dtr 50V 100mA 4k7+ 4k7
23,DTC143EKA,Roh,N,SC59,pnp dtr 50V 100mA 4k7+ 4k7
-23,PDTA114TU,Phi,N,SOT323,pnp dtr R1 10k
t23,PDTA114TU,Phi,N,SOT323,pnp dtr R1 10k
24,MMBD2101,Nat,C,SOT23,Si diode 100V 200mA
24,DTC114ECA,Roh,N,SOT23,npn dtr 50V 100mA 10k + 10k
24,DTC114EUA,Roh,N,SC70,npn dtr 50V 100mA 10k + 10k
24,DTC114EKA,Roh,N,SC59,npn dtr 50V 100mA 10k + 10k
24,2SC5006,Nec,N,-,npn RF fT 4.5GHz @3V 7mA
-24,PDTC114TU,Phi,N,SOT323,npn dtr R1 10k
t24,PDTC114TU,Phi,N,SOT323,npn dtr R1 10k
24V,PZM24NB,Phi,C,SOT346,24V 300mW Zener
24Y,BZV49-C24,Phi,O,SOT89,24V 1W zener
25,MMBD2102,Nat,K,SOT23,Si diode 100V 200mA
25,DTC124ECA,Roh,N,SOT23,npn dtr 50V 100mA 22k + 22k
25,DTC124EKA,Roh,N,SC59,npn dtr 50V 100mA 22k + 22k
25,DTC124EUA,Roh,N,SC70,npn dtr 50V 100mA 22k + 22k
26,MMBD2103,Nat,D,SOT23,dual MMBD1201
26,DTC144EKA,Roh,N,SC59,npn dtr 50V 30mA 47k + 47k
26,DTC144EUA,Roh,N,SC70,npn dtr 50V 30mA 47k + 47k
27,MMBD2104,Nat,B,SOT23,dual cc MMBD1201
27V,PZM27NB,Phi,C,SOT346,27V 300mW Zener
27Y,BZV49-C27,Phi,O,SOT89,27V 1W zener
28,BFP280T,Tfk,W,-,npn RF fT 7GHz 8V 10mA
28,MMBD2105,Nat,A,SOT23,dual ca MMBD1201
-28,PDTA114WU,Phi,N,SOT323,pnp dtr
29,MMBD1401,Nat,C,SOT23,Si diode 200V 100mA
29,DTC115EE,Roh,N,EMT3,npn dtr 100k +100k 50V 20mA
29,DTC115EUA,Roh,N,SC70,npn dtr 100k +100k 50V 20mA
29,DTC115EKA,Roh,N,SC59,npn dtr 100k +100k 50V 20mA
200,SSTPAD200,Sil,J,-,PAD-200 200pA leakage diode
201,PZM20NB1,Phi,C,SOT346,20V 300mW Zener
202,PZM20NB2,Phi,C,SOT346,20V 300mW Zener
203,PZM20NB3,Phi,C,SOT346,20V 300mW Zener
221,PZM22NB1,Phi,C,SOT346,22V 300mW Zener
222,PZM22NB2,Phi,C,SOT346,22V 300mW Zener
223,PZM22NB3,Phi,C,SOT346,22V 300mW Zener
241,PZM24NB,Phi,C,SOT346,24V 300mW Zener
242,PZM24NB,Phi,C,SOT346,24V 300mW Zener
243,PZM20NB,Phi,C,SOT346,24V 300mW Zener
271,PZM2.7NB1,Phi,C,SOT346,2.7V 300mW Zener
272,PZM2.7NB2,Phi,C,SOT346,2.7V 300mW Zener
2A,MMBT3906L,Mot,N,SOT23,2N3906
2A,MMBT3906W,Mot,N,SOT323,2N3906
2A,FMMT3906,Zet,N,SOT23,2N3906
t2A,PMBT3906,Phi,N,SOT23,2N3906
t2A,PMST3906,Phi,N,SOT323,2N3906
p2A,PMBT3906,Phi,N,SOT23,2N3906
p2A,PXT3906,Phi,O,SOT89,2N3906
2A4,PZM2.4NB2A,Phi,A,SOT346,dual 2.4V cc Zener
2A7,PZM2.7NB2A,Phi,A,SOT346,dual 2.7V cc Zener
2B,BC849B,ITT,N,SOT23,BC549B
2Bs,BC849B,Sie,N,SOT23,BC549B
2Bs,BC849BW,Sie,N,SOT323,BC549B
2Bp,BC849B,Phi,N,SOT23,BC549B
2Bt,BC849BW,Phi,N,SOT323,BC549B
2B-,BC849BW,Phi,N,SOT323,BC549B
2B,FMMT2907,Zet,N,SOT23,2N2907
2B,MMBT2907,Mot,N,SOT23,MPS2907
p2B,PMBT2907,Phi,N,SOT23,2N2907
t2B,PMBT2907,Phi,N,SOT23,2N2907
2BR,BC849BR,Phi,R,SOT23R,BC549B
2BZ,FMMT2907,Zet,N,SOT23,2N2907
2C,BC849C,ITT,N,SOT23,BC549C
2Cs,BC849C,Sie,N,SOT23,BC549C
